domain_id,grouping_id,major_field,sub_category,exact_category,arxiv_category
113,1.6,natural sciences,physical sciences,atomic,physics.atm-clus
114,1.6,natural sciences,physical sciences,chemical physics,physics.chem-ph
115,1.6,natural sciences,physical sciences,computational physics,physics.comp-ph
116,1.6,natural sciences,physical sciences,condensed matter physics,cond-mat.dis-nn
117,1.6,natural sciences,physical sciences,condensed matter physics,cond-mat.mes-hall
118,1.6,natural sciences,physical sciences,condensed matter physics,cond-mat.mtrl-sci
119,1.6,natural sciences,physical sciences,condensed matter physics,cond-mat.other
120,1.6,natural sciences,physical sciences,condensed matter physics,cond-mat.quant-gas
121,1.6,natural sciences,physical sciences,condensed matter physics,cond-mat.soft
122,1.6,natural sciences,physical sciences,condensed matter physics,cond-mat.stat-mech
123,1.6,natural sciences,physical sciences,condensed matter physics,cond-mat.str-el
124,1.6,natural sciences,physical sciences,condensed matter physics,cond-mat.supr-con
125,1.6,natural sciences,physical sciences,fluid mechanics,physics.flu-dyn
126,1.6,natural sciences,physical sciences,high energy physics,hep-ph
127,1.6,natural sciences,physical sciences,high energy physics,hep-th
128,1.6,natural sciences,physical sciences,high energy physics,hep-lat
129,1.6,natural sciences,physical sciences,high energy physics,hep-ex
130,1.6,natural sciences,physical sciences,mathematical physics,math-ph
131,1.6,natural sciences,physical sciences,mathematical physics,math.MP
132,1.6,natural sciences,physical sciences,medical physics,physics.med-ph
133,1.6,natural sciences,physical sciences,molecular physics,physics.atm-clus
134,1.6,natural sciences,physical sciences,nuclear physics,nucl-th
135,1.6,natural sciences,physical sciences,nuclear physics,nucl-ex
136,1.6,natural sciences,physical sciences,optics,physics.optics
137,1.6,natural sciences,physical sciences,physics,physics.gen-ph
138,1.6,natural sciences,physical sciences,physics,physics.class-ph
139,1.6,natural sciences,physical sciences,plasma physics,physics.plasm-ph
140,1.6,natural sciences,physical sciences,space science,physics.space-ph
141,1.6,natural sciences,physical sciences,quantum physics,gr-qc
142,1.6,natural sciences,physical sciences,quantum physics,quant-ph
143,1.6,natural sciences,physical sciences,other,nlin.AO
144,1.6,natural sciences,physical sciences,other,nlin.CD
145,1.6,natural sciences,physical sciences,other,nlin.CG
146,1.6,natural sciences,physical sciences,other,nlin.PS
147,1.6,natural sciences,physical sciences,other,nlin.SI
148,1.6,natural sciences,physical sciences,other,physics.hist-ph
149,1.6,natural sciences,physical sciences,other,physics.data-an
150,1.6,natural sciences,physical sciences,other,physics.ed-ph
151,1.6,natural sciences,physical sciences,other,physics.app-ph
152,1.6,natural sciences,physical sciences,other,physics.soc-ph
153,1.6,natural sciences,physical sciences,other,physics.pop-ph
154,1.7,natural sciences,chemical sciences,inorganic and nuclear chemistry,nucl-th
155,2.1,engineering and technology,"electrical, electronic and information engineering",communication engineering and systems,cs.SI
156,2.1,engineering and technology,"electrical, electronic and information engineering",electrical and electronic engineering,physics.app-ph
157,2.1,engineering and technology,"electrical, electronic and information engineering",electrical and electronic engineering,physics.ins-det
158,2.1,engineering and technology,"electrical, electronic and information engineering","robotics, automation and control systems",cs.RO
159,2.1,engineering and technology,"electrical, electronic and information engineering","robotics, automation and control systems",physics.app-ph
160,2.1,engineering and technology,"electrical, electronic and information engineering",other,eess.IV
161,2.1,engineering and technology,"electrical, electronic and information engineering",other,eess.SP
162,2.1,engineering and technology,"electrical, electronic and information engineering",other,cs.SY
163,2.1,engineering and technology,"electrical, electronic and information engineering",other,eess.SY
164,2.2,engineering and technology,mechanical engineering,applied mechanics,physics.app-ph
165,2.2,engineering and technology,mechanical engineering,audio engineering,cs.SD
