publication_ID	last_name	first_name	first_name_abbr	extra	position	h_index_real	updated_at
250020	Orimoto		T. J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Ronan		M. T.			-1	2023-01-06 17:11:05.425728+00:00
250020	Tackmann		K.			-1	2023-01-06 17:11:05.425728+00:00
250020	Wenzel		W. A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Del Amo Sanchez		P.			-1	2023-01-06 17:11:05.425728+00:00
250020	Hawkes		C. M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Watson		A. T.			-1	2023-01-06 17:11:05.425728+00:00
250020	Held		T.			-1	2023-01-06 17:11:05.425728+00:00
250020	Koch		H.			-1	2023-01-06 17:11:05.425728+00:00
250020	Lewandowski		B.			-1	2023-01-06 17:11:05.425728+00:00
250020	Pelizaeus		M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Schroeder		T.			-1	2023-01-06 17:11:05.425728+00:00
250020	Steinke		M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Walker		D.			-1	2023-01-06 17:11:05.425728+00:00
250020	Asgeirsson		D. J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Cuhadar-Donszelmann		T.			-1	2023-01-06 17:11:05.425728+00:00
250020	Fulsom		B. G.			-1	2023-01-06 17:11:05.425728+00:00
250020	Hearty		C.			-1	2023-01-06 17:11:05.425728+00:00
250020	Knecht		N. S.			-1	2023-01-06 17:11:05.425728+00:00
250020	Mattison		T. S.			-1	2023-01-06 17:11:05.425728+00:00
250020	Mckenna		J. A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Khan		A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Saleem		M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Teodorescu		L.			-1	2023-01-06 17:11:05.425728+00:00
250020	Blinov		V. E.			-1	2023-01-06 17:11:05.425728+00:00
250020	Bukin		A. D.			-1	2023-01-06 17:11:05.425728+00:00
250020	Druzhinin		V. P.			-1	2023-01-06 17:11:05.425728+00:00
250020	Golubev		V. B.			-1	2023-01-06 17:11:05.425728+00:00
250020	Onuchin		A. P.			-1	2023-01-06 17:11:05.425728+00:00
250020	Serednyakov		S. I.			-1	2023-01-06 17:11:05.425728+00:00
250020	Skovpen	Yu. I.	Y. I.			-1	2023-01-06 17:11:05.425728+00:00
250020	Solodov		E. P.			-1	2023-01-06 17:11:05.425728+00:00
250020	Todyshev	K. Yu	K. Y.			-1	2023-01-06 17:11:05.425728+00:00
250020	Bondioli		M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Curry		S.			-1	2023-01-06 17:11:05.425728+00:00
250020	Eschrich		I.			-1	2023-01-06 17:11:05.425728+00:00
250020	Kirkby		D.			-1	2023-01-06 17:11:05.425728+00:00
250020	Lankford		A. J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Lund		P.			-1	2023-01-06 17:11:05.425728+00:00
250020	Mandelkern		M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Martin		E. C.			-1	2023-01-06 17:11:05.425728+00:00
250020	Stoker		D. P.			-1	2023-01-06 17:11:05.425728+00:00
250020	Abachi		S.			-1	2023-01-06 17:11:05.425728+00:00
250020	Buchanan		C.			-1	2023-01-06 17:11:05.425728+00:00
250020	Foulkes		S. D.			-1	2023-01-06 17:11:05.425728+00:00
250020	Gary		J. W.			-1	2023-01-06 17:11:05.425728+00:00
250020	Liu		F.			-1	2023-01-06 17:11:05.425728+00:00
250020	Long		O.			-1	2023-01-06 17:11:05.425728+00:00
250020	Shen		B. C.			-1	2023-01-06 17:11:05.425728+00:00
250020	Zhang		L.			-1	2023-01-06 17:11:05.425728+00:00
