10.1002/pssa.200776327
10.1007/978-1-4020-6348-0_12
10.1007/978-3-540-74126-8_23
10.1007/978-3-642-18003-3_10
10.1007/978-88-470-0665-2_1
10.1007/978-88-470-0665-2_18
10.1007/978-88-470-0665-2_4
10.1007/s00220-008-0461-1
10.1007/s00220-008-0488-3
10.1007/s00220-008-0641-z
10.1007/s00440-007-0116-8
10.1007/s10509-007-9626-1
10.1007/s10762-010-9715-z
10.1007/s10909-005-6013-6
10.1007/s10957-007-9292-z
10.1007/s11403-007-0026-y
10.1016/j.astropartphys.2007.05.006
10.1016/j.astropartphys.2007.06.005
10.1016/j.atmosenv.2007.03.005
10.1016/j.crma.2007.06.007
10.1016/j.jtbi.2007.03.035
10.1016/j.nima.2007.04.159
10.1016/j.nima.2007.05.123
10.1016/j.nima.2007.06.022
10.1016/j.nima.2007.08.025
10.1016/j.nima.2007.09.036
10.1016/j.nima.2008.07.139
10.1016/j.nima.2009.01.014
10.1016/j.nuclphysa.2007.02.014
10.1016/j.nuclphysa.2007.06.009
10.1016/j.nuclphysa.2007.11.009
10.1016/j.oceaneng.2007.05.001
10.1016/j.pepi.2008.07.034
10.1016/j.physa.2007.04.085
10.1016/j.physa.2007.04.102
10.1016/j.physa.2007.04.118
10.1016/j.physa.2007.04.130
10.1016/j.physa.2007.06.047
10.1016/j.physa.2007.08.059
10.1016/j.physleta.2007.09.027
10.1016/j.physletb.2006.01.046
10.1016/j.physletb.2007.05.029
10.1016/j.physletb.2007.06.023
10.1016/j.physletb.2007.10.051
10.1016/j.ppnp.2007.01.023
10.1029/2006JD007753
10.1029/2006JD007885
10.1029/2007GB003142
10.1038/ncomms1748
10.1049/el.2011.0089
10.1063/1.2754267
10.1063/1.2779138
10.1063/1.2975338
10.1063/1.3263727
10.1080/03091920801915318
10.1080/10635150802040597
10.1080/13504860802453218
10.1080/14697680802595668
10.1080/15394451003708549
10.1086/518646
10.1088/0253-6102/49/4/38
10.1088/0953-2048/20/11/S13
10.1088/0954-3899/34/8/S10
10.1088/0954-3899/36/4/045001
10.1088/0957-0233/19/4/045702
10.1088/1126-6708/2007/05/034
10.1088/1367-2630/9/9/334
10.1088/1674-1056/18/2/021
10.1088/1742-5468/2008/09/L09003
10.1088/1748-0221/2/05/P05004
10.1088/1751-8113/40/41/004
10.1093/imamat/hxl032
10.1103/PhysRevA.75.043613
10.1103/PhysRevC.75.047303
10.1103/PhysRevC.75.055805
10.1103/PhysRevC.76.014619
10.1103/PhysRevC.76.024606
10.1103/PhysRevC.76.024609
10.1103/PhysRevC.77.045201
10.1103/PhysRevD.75.094018
10.1103/PhysRevD.75.125021
10.1103/PhysRevD.76.013009
10.1103/PhysRevD.76.014014
10.1103/PhysRevD.76.044016
10.1103/PhysRevD.76.052005
10.1103/PhysRevD.76.053001
10.1103/PhysRevE.76.026307
10.1103/PhysRevE.76.046116
10.1103/PhysRevE.77.010102
10.1103/PhysRevE.77.016101
10.1103/PhysRevE.77.021914
10.1103/PhysRevE.77.036110
10.1103/PhysRevE.78.031919
10.1103/PhysRevLett.98.198103
10.1103/PhysRevLett.98.253001
10.1103/PhysRevLett.99.044502
10.1103/PhysRevLett.99.048301
10.1103/PhysRevLett.99.087402
10.1103/PhysRevLett.99.164501
10.1109/ISIT.2007.4557299
10.1109/ISIT.2007.4557408
10.1109/ITW.2007.4313111
10.1109/SAHCN.2007.4292845
10.1109/TIT.2008.2011437
10.1111/j.1365-246X.2007.03671.x
10.1111/j.1365-2966.2007.11762.x
10.1111/j.1460-9568.2007.05574.x
10.1111/j.1600-0870.2007.00275.x
10.1112/S0010437X0900400X
10.1112/blms/bdn071
10.1112/jtopol/jtn010
10.1117/12.724667
10.1117/12.727127
10.1140/epja/i2007-10461-y
10.1140/epjb/e2007-00098-2
10.1140/epjb/e2008-00119-8
10.1142/S0219887809003461
10.1143/PTPS.168.495
10.1143/PTPS.168.627
10.1145/1507244.1507252
10.1175/2007JAS2510.1
10.1209/0295-5075/80/30005
10.1214/07-AAP481
10.1214/08-AAP544
10.1214/105051606000000790
10.1214/105051606000000853
10.1214/105051606000000862
10.1214/105051606000000899
10.1364/AO.46.004092
10.1364/JOSAA.23.002578
10.1364/JOSAB.24.001482
10.1364/JOSAB.24.001824
10.1364/JOSAB.24.002357
10.1371/journal.pone.0000759
10.1515/ADVGEOM.2009.015
10.1590/S0103-97332007000100022
10.2140/pjm.2008.236.223
10.2478/v10048-008-0006-y
10.3233/ASY-2008-0863
10.3982/ECTA7880
10.5194/npg-14-163-2007
