major_field,sub_category,exact_category,arXiv_category,,,,,,,
natural sciences,physical sciences,astrophysics,astro-ph.IM,,,,,,,
natural sciences,physical sciences,atomic,physics.atom-ph,,,,,,,
natural sciences,physical sciences,atomic,physics.atm-clus,,,,,,,
natural sciences,physical sciences,chemical physics,physics.chem-ph,,,,,,,
natural sciences,physical sciences,computational physics,physics.comp-ph,,,,,,,
natural sciences,physical sciences,condensed matter physics,cond-mat.dis-nn,,,,,,,
natural sciences,physical sciences,condensed matter physics,cond-mat.mes-hall,,,,,,,
natural sciences,physical sciences,condensed matter physics,cond-mat.mtrl-sci,,,,,,,
natural sciences,physical sciences,condensed matter physics,cond-mat.other ,,,,,,,
natural sciences,physical sciences,condensed matter physics,cond-mat.quant-gas,,,,,,,
natural sciences,physical sciences,condensed matter physics,cond-mat.soft,,,,,,,
natural sciences,physical sciences,condensed matter physics,cond-mat.stat-mech,,,,,,,
natural sciences,physical sciences,condensed matter physics,cond-mat.str-el,,,,,,,
natural sciences,physical sciences,condensed matter physics,cond-mat.supr-con,,,,,,,
natural sciences,physical sciences,fluid mechanics,physics.flu-dyn,,,,,,,
natural sciences,physical sciences,high energy physics,hep-ph,,,,,,,
natural sciences,physical sciences,high energy physics,hep-th,,,,,,,
natural sciences,physical sciences,high energy physics,hep-lat ,,,,,,,
natural sciences,physical sciences,high energy physics,hep-ex,,,,,,,
natural sciences,physical sciences,mathematical physics,math-ph,,,,,,,
natural sciences,physical sciences,mathematical physics,math.MP,,,,,,,
natural sciences,physical sciences,medical physics,physics.med-ph,,,,,,,
natural sciences,physical sciences,molecular physics,physics.atm-clus,,,,,,,
natural sciences,physical sciences,nuclear physics,nucl-th,,,,,,,
natural sciences,physical sciences,nuclear physics,nucl-ex,,,,,,,
natural sciences,physical sciences,optics,physics.optics,,,,,,,
natural sciences,physical sciences,physics,physics.gen-ph,,,,,,,
natural sciences,physical sciences,physics,physics.class-ph,,,,,,,
natural sciences,physical sciences,plasma physics,physics.plasm-ph,,,,,,,
natural sciences,physical sciences,space science,physics.space-ph,,,,,,,
natural sciences,physical sciences,quantum physics,gr-qc ,,,,,,,
natural sciences,physical sciences,quantum physics,quant-ph,,,,,,,
natural sciences,physical sciences,other,nlin.AO,,,,,,,
natural sciences,physical sciences,other,nlin.CD,,,,,,,
natural sciences,physical sciences,other,nlin.CG,,,,,,,
natural sciences,physical sciences,other,nlin.PS ,,,,,,,
natural sciences,physical sciences,other,nlin.SI,,,,,,,
natural sciences,physical sciences,other,physics.hist-ph,,,,,,,
natural sciences,physical sciences,other,physics.data-an,,,,,,,
natural sciences,physical sciences,other,physics.ed-ph,,,,,,,
natural sciences,physical sciences,other,physics.app-ph,,,,,,,
natural sciences,physical sciences,other,physics.pop-ph ,,,,,,,
natural sciences,chemical sciences,inorganic and nuclear chemistry,nucl-th,,,,,,,
engineering and technology,"electrical, electronic and information engineering",communication engineering and systems,cs.SI,,,,,,,
engineering and technology,"electrical, electronic and information engineering",electrical and electronic engineering,physics.app-ph,,,,,,,
engineering and technology,"electrical, electronic and information engineering",electrical and electronic engineering,physics.ins-det,,,,,,,
engineering and technology,"electrical, electronic and information engineering","robotics, automation and control systems",cs.RO,,,,,,,
engineering and technology,"electrical, electronic and information engineering","robotics, automation and control systems",physics.app-ph,,,,,,,
engineering and technology,"electrical, electronic and information engineering",other,eess.IV,,,,,,,
engineering and technology,"electrical, electronic and information engineering",other,eess.SP,,,,,,,
engineering and technology,"electrical, electronic and information engineering",other,cs.SY,,,,,,,
engineering and technology,"electrical, electronic and information engineering",other,eess.SY,,,,,,,
engineering and technology,mechanical engineering,applied mechanics,physics.app-ph,,,,,,,
engineering and technology,mechanical engineering,audio engineering,cs.SD,,,,,,,
engineering and technology,mechanical engineering,audio engineering,eess.AS,,,,,,,
engineering and technology,mechanical engineering,nuclear related engineering,nucl-th,,,,,,,
engineering and technology,mechanical engineering,nuclear related engineering,physics.app-ph,,,,,,,
engineering and technology,mechanical engineering,thermodynamics,physics.app-ph,,,,,,,
engineering and technology,materials engineering,ceramics,physics.app-ph,,,,,,,
engineering and technology,materials engineering,coating and films,physics.app-ph,,,,,,,
engineering and technology,materials engineering,composites,physics.app-ph,,,,,,,
engineering and technology,materials engineering,paper and wood ,physics.app-ph,,,,,,,
engineering and technology,materials engineering,textiles,physics.app-ph,,,,,,,
engineering and technology,materials engineering,other,physics.app-ph,,,,,,,
engineering and technology,nano-technology,nano-materials,physics.app-ph,,,,,,,
engineering and technology,nano-technology,nano-processes,physics.app-ph,,,,,,,
engineering and technology,nano-technology,other,physics.app-ph,,,,,,,
social sciences,"economics, finance and business",business and management ,q-fin.PM ,,,,,,,
social sciences,"economics, finance and business",business and management ,q-fin.PR,,,,,,,
social sciences,"economics, finance and business",business and management ,q-fin.RM ,,,,,,,
social sciences,"economics, finance and business",economics and econometrics ,q-fin.ST,,,,,,,
social sciences,"economics, finance and business",economics and econometrics ,econ.EM,,,,,,,
social sciences,"economics, finance and business",economics and econometrics ,econ.TH ,,,,,,,
social sciences,"economics, finance and business",economics and econometrics ,econ.GN,,,,,,,
social sciences,"economics, finance and business",economics and econometrics ,q-fin.EC,,,,,,,
social sciences,"economics, finance and business",finance,q-fin.GN ,,,,,,,
social sciences,"economics, finance and business",finance,q-fin.CP,,,,,,,
social sciences,"economics, finance and business",finance,q-fin.MF,,,,,,,
social sciences,"economics, finance and business",industrial relations ,q-fin.TR,,,,,,,
