publication_id	number_of_citations	updated_at
276	108	2023-01-15 14:53:04.381677+00:00
278	14	2023-01-15 14:53:04.381677+00:00
279	52	2023-01-15 14:53:04.381677+00:00
280	51	2023-01-15 14:53:04.381677+00:00
284	0	2023-01-15 14:53:04.381677+00:00
285	733	2023-01-15 14:53:04.381677+00:00
287	0	2023-01-15 14:53:04.381677+00:00
289	101	2023-01-15 14:53:04.381677+00:00
290	79	2023-01-15 14:53:04.381677+00:00
291	20	2023-01-15 14:53:04.381677+00:00
292	167	2023-01-15 14:53:04.381677+00:00
293	14	2023-01-15 14:53:04.381677+00:00
296	8	2023-01-15 14:53:04.381677+00:00
297	194	2023-01-15 14:53:04.381677+00:00
299	54	2023-01-15 14:53:04.381677+00:00
300	257	2023-01-15 14:53:04.381677+00:00
306	23	2023-01-15 14:53:04.381677+00:00
307	65	2023-01-15 14:53:04.381677+00:00
308	15	2023-01-15 14:53:04.381677+00:00
310	11	2023-01-15 14:53:04.381677+00:00
311	10	2023-01-15 14:53:04.381677+00:00
312	26	2023-01-15 14:53:04.381677+00:00
